Nome,Data,Identificacao
Artmio Ambulo Topovi Melkioz,18/10/2006,21755035284
Tilenio Cartuxo Topovi Lasmia,05/09/2008,20262523776
Osmund Virino Talento Casas,06/04/2010,78123874505
Tilenio Ambulo Topovi Melkioz,26/08/2012,72067917821
Felicia Virino Talento Melkioz,04/05/2006,34731058282
Senizio Olambro Topovi Lorentao,17/07/2013,68748341330
Artmio Atomon Moncoes Motivio,23/02/2009,34904242136
Tilenio Atomon Sereno Melkioz,14/12/2007,07755395971
Felicia Atomon Talento Melkioz,04/12/2016,86418409768
Catulo Romulo Soterno Mantega,04/08/2016,75107851921
Artmio Romulo Soterno Motivio,21/02/2006,11392772966
Osmund Virino Talento Lasmia,02/05/2009,55809041628
Felicia Atomon Moncoes Lorentao,12/09/2003,15880082524
Artmio Virino Topovi Motivio,07/07/2003,12153147938
Tilenio Virino Moncoes Casas,02/09/2013,38784946862
Tilenio Ambulo Moncoes Motivio,09/03/2001,38680776979
Tilenio Olambro Oscaran Lorentao,05/06/2006,69579759679
Osmund Ambulo Oscaran Melkioz,04/10/2016,42665093531
Osmund Ambulo Oscaran Melkioz,04/10/2016,05052875548
Osmund Ambulo Oscaran Melkioz,04/10/2016,99928441270
Osmund Ambulo Oscaran Melkioz,09/09/2000,61527602198
Senizio Atomon Sereno Casas,28/12/2007,15543373302
Senizio Atomon Sereno Casas,16/10/2014,49678283556
Senizio Atomon Sereno Casas,28/12/2007,45733922977
Senizio Atomon Sereno Casas,28/12/2007,79596233320
Catulo Olambro Soterno Lasmia,17/10/2000,22994712549
Catulo Olambro Soterno Lasmia,17/10/2000,50541126076
Catulo Olambro Soterno Lasmia,28/01/2015,51411486907
Catulo Olambro Soterno Lasmia,04/09/2002,34676327018
Senizio Ambulo Oscaran Mantega,16/06/2016,88894919182
Senizio Ambulo Oscaran Mantega,05/06/2011,55736120616
Senizio Ambulo Oscaran Mantega,17/07/2011,41044340469
Senizio Ambulo Oscaran Mantega,05/06/2011,81991467905
Artmio Cartuxo Oscaran Lorentao,17/12/2015,67683041744
Artmio Olambro Moncoes Casas,25/06/2016,69435764213
Senizio Virino Talento Mantega,04/09/2004,03971917978
Osmund Atomon Moncoes Lasmia,17/08/2010,56648961128
